Vteam,Hteam
New York Knicks,Cleveland Cavaliers
Utah Jazz,Portland Trail Blazers
San Antonio Spurs,Golden State Warriors
Dallas Mavericks,Indiana Pacers
Miami Heat,Orlando Magic
Detroit Pistons,Toronto Raptors
Brooklyn Nets,Boston Celtics
Charlotte Hornets,Milwaukee Bucks
Denver Nuggets,New Orleans Pelicans
Minnesota Timberwolves,Memphis Grizzlies
Oklahoma City Thunder,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Houston Rockets,Los Angeles Lakers
Washington Wizards,Atlanta Hawks
Boston Celtics,Chicago Bulls
Los Angeles Clippers,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Cleveland Cavaliers,Toronto Raptors
Indiana Pacers,Brooklyn Nets
Orlando Magic,Detroit Pistons
Phoenix Suns,Oklahoma City Thunder
Charlotte Hornets,Miami Heat
Houston Rockets,Dallas Mavericks
Los Angeles Lakers,Utah Jazz
Golden State Warriors,New Orleans Pelicans
Atlanta Hawks,Philadelphia 76ers
Boston Celtics,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Memphis Grizzlies,New York Knicks
New Orleans Pelicans,San Antonio Spurs
Brooklyn Nets,Milwaukee Bucks
Indiana Pacers,Chicago Bulls
Portland Trail Blazers,Denver Nuggets
Minnesota Timberwolves,Sacramento Kings
Utah Jazz,Los Angeles Clippers
Milwaukee Bucks,Detroit Pistons
San Antonio Spurs,Miami Heat
Golden State Warriors,Phoenix Suns
Los Angeles Lakers,Oklahoma City Thunder
Dallas Mavericks,Houston Rockets
Washington Wizards,Memphis Grizzlies
Sacramento Kings,Atlanta Hawks
Chicago Bulls,Brooklyn Nets
Denver Nuggets,Toronto Raptors
Phoenix Suns,Los Angeles Clippers
